"año","pais","export","import","PBI","ln_export","ln_import","ln_pbi","post","tratado","did","trend"
2024,"usa",9301.4945,9537.399649,29298025,9.13793036515539,9.16297615380735,17.1930306655721,1,0,0,20
2024,"china",14633.07603,25048.252113,18749759,9.59103972686927,10.1285593281504,16.7466914569648,1,1,1,20
2023,"usa",10285.273213,9174.19546,27811500,9.23846836595397,9.12414998079455,17.1409601621882,1,0,0,19
2023,"china",12750.441957,23094.908265,18270351,9.45332121327993,10.0473674507849,16.7207901399923,1,1,1,19
2022,"usa",13403.031055,8598.590861,26054600,9.50323615849439,9.05935361544408,17.0757048940679,1,0,0,18
2022,"china",13844.6875,21040.368644,18307816,9.53565686402494,9.95419818780081,16.7228386304539,1,1,1,18
2021,"usa",8894.491477,7180.459986,23725650,9.09318742893225,8.87911872489271,16.9820672993452,1,0,0,17
2021,"china",12837.507041,21165.5874,18190803,9.46012640270794,9.96013190593631,16.7164266946546,1,1,1,17
2020,"usa",6211.804886,6361.396503,21375275,8.73420677456731,8.75800320817429,16.8777454382014,1,0,0,16
2020,"china",9663.600237,12560.529669,15103357,9.17612155311452,9.43831461023174,16.530427594957,1,1,1,16
2019,"usa",8324.879313,5881.184502,21539975,9.02700381780663,8.67951346652354,16.8854210690605,1,0,0,15
2019,"china",9764.531972,13584.602389,14572410,9.18651191302748,9.51669225304787,16.4946405728663,1,1,1,15
2018,"usa",8667.226275,8049.068107,20656525,9.06730409644325,8.99331160060595,16.8435418080895,1,0,0,14
2018,"china",9572.999386,13237.194154,14110963,9.16670185080763,9.49078588512906,16.4624625709686,1,1,1,14
2017,"usa",7606.187368,7000.356277,19612100,8.93671732242092,8.85371632345654,16.7916572806593,0,0,0,13
2017,"china",8390.662045,11627.230729,12503299,9.03487470516814,9.36110510271356,16.3415030874518,0,1,0,13
2016,"usa",6665.870395,6264.910959,18804900,8.8047558159844,8.74271965477905,16.7496280321378,0,0,0,12
2016,"china",7823.047279,8493.053002,11448003,8.96482943525623,9.04700381442932,16.2533258622729,0,1,0,12
2015,"usa",7365.887016,5025.602279,18295000,8.9046147583047,8.52230058226247,16.7221383564354,0,0,0,11
2015,"china",8225.557738,7410.618294,11307226,9.01500138342576,8.910669155295,16.2409525483359,0,1,0,11
2014,"usa",8326.814195,6171.787132,17608125,9.02723621242856,8.72774372358174,16.6838710012091,0,0,0,10
2014,"china",8399.235145,7042.631447,10701415,9.03589592651906,8.85973716439707,16.1858865336795,0,1,0,10
2013,"usa",8339.696793,7773.643979,16880675,9.02878213893651,8.95849431399096,16.6416800344842,0,0,0,9
2013,"china",7932.757746,7354.027822,9782784,8.97875601533415,8.90300344510127,16.096134664079,0,1,0,9
2012,"usa",7526.076505,6331.27877,16253950,8.92612913652824,8.75325751211303,16.6038465141247,0,0,0,8
2012,"china",5963.16954,7840.533399,8682939,8.69335742071624,8.96706214661687,15.9768706237964,0,1,0,8
2011,"usa",6978.260879,6025.239411,15599725,8.85055500697508,8.70371249383495,16.5627638438593,0,0,0,7
2011,"china",7291.414998,6966.910064,7624861,8.89445290740206,8.84892708609076,15.8469246507834,0,1,0,7
2010,"usa",5443.26171,6087.041071,15048975,8.60213373921841,8.71391737580154,16.5268204405275,0,0,0,6
2010,"china",4701.821558,5436.188839,6138992,8.45570527814594,8.60083351326222,15.630171117265,0,1,0,6
2009,"usa",4034.681104,4771.484879,14478050,8.3026825451149,8.47041283082787,16.4881442673449,0,0,0,5
2009,"china",3064.907037,4078.797182,5176180,8.02777251740462,8.31355741560036,15.4595778904469,0,1,0,5
2008,"usa",5197.288609,5901.968561,14769850,8.55589234723598,8.68304122865034,16.5080984987349,0,0,0,4
2008,"china",3715.13741,3636.028087,4653314,8.22017094435477,8.198647179965,15.353090211894,0,1,0,4
2007,"usa",3338.315737,5555.831455,14474250,8.11322168842441,8.62260336774095,16.4878817666095,0,0,0,3
2007,"china",2251.043796,3049.789956,3612210,7.71914929695913,8.02282800034478,15.0998303313639,0,1,0,3
2006,"usa",2349.647009,5682.385327,13815600,7.76202038691954,8.64512637549668,16.4413089464498,0,0,0,2
2006,"china",1486.575409,2239.181597,2797286,7.3042303703812,7.71386571960727,14.84416021937,0,1,0,2
2005,"usa",2044.75422,5341.917106,13039200,7.62303287543494,8.5833398761403,16.3834707628876,0,0,0,1
2005,"china",939.4868048,1878.690991,2325515,6.84533377383738,7.53833053192455,14.6594520778512,0,1,0,1
2004,"usa",1791.273929,3676.372189,12217175,7.49068233788079,8.2096817267181,16.3183533065858,0,0,0,0
2004,"china",693.21503,1210.180554,1978937,6.54134023966064,7.09852484564068,14.4980703898183,0,1,0,0
