"año","xeu","xch","meu","mch","yeu","ych","ype","dis"
2024,9537.399649,25048.252113,9301.4945,14633.07603,29298025,18749759,294675,5665
2023,9174.19546,23094.908265,10285.273213,12750.441957,27811500,18270351,271780,16037
2022,8598.590861,21040.368644,13403.031055,13844.6875,26054600,18307816,248204,NA
2021,7180.459986,21165.5874,8894.491477,12837.507041,23725650,18190803,229832,NA
2020,6361.396503,12560.529669,6211.804886,9663.600237,21375275,15103357,209984,NA
2019,5881.184502,13584.602389,8324.879313,9764.531972,21539975,14572410,236414,NA
2018,8049.068107,13237.194154,8667.226275,9572.999386,20656525,14110963,229824,NA
2017,7000.356277,11627.230729,7606.187368,8390.662045,19612100,12503299,219525,NA
2016,6264.910959,8493.053002,6665.870395,7823.047279,18804900,11448003,198940,NA
2015,5025.602279,7410.618294,7365.887016,8225.557738,18295000,11307226,194425,NA
2014,6171.787132,7042.631447,8326.814195,8399.235145,17608125,10701415,204200,NA
2013,7773.643979,7354.027822,8339.696793,7932.757746,16880675,9782784,203056,NA
2012,6331.27877,7840.533399,7526.076505,5963.16954,16253950,8682939,193021,NA
2011,6025.239411,6966.910064,6978.260879,7291.414998,15599725,7624861,170662,NA
2010,6087.041071,5436.188839,5443.26171,4701.821558,15048975,6138992,149284,NA
2009,4771.484879,4078.797182,4034.681104,3064.907037,14478050,5176180,122214,NA
2008,5901.968561,3636.028087,5197.288609,3715.13741,14769850,4653314,120898,NA
2007,5555.831455,3049.789956,3338.315737,2251.043796,14474250,3612210,102187,NA
2006,5682.385327,2239.181597,2349.647009,1486.575409,13815600,2797286,87459,NA
2005,5341.917106,1878.690991,2044.75422,939.4868048,13039200,2325515,74232,NA
2004,3676.372189,1210.180554,1791.273929,693.21503,12217175,1978937,66126,NA
2003,2409.768507,677.8801269,NA,NA,11456450,1680942,58537,NA
2002,1979.680325,597.6250702,NA,NA,10929100,1486618,53954,NA
2001,1726.432321,413.1337627,NA,NA,10581925,1351372,51034,NA
2000,1905.406617,444.5584893,NA,NA,10250950,1220337,50414,NA
1999,1766.110165,215.4969366,NA,NA,9631175,1101134,48719,NA
1998,1856.917482,233.1788081,NA,NA,9062825,1035510,53918,NA
1997,1591.25486,490.5871661,NA,NA,8577550,967886,56281,NA
1996,1165.258021,419.3857862,NA,NA,8073125,868770,53412,NA
1995,934.9969856,349.4435028,NA,NA,7639750,737654,51380,NA
